{https://youtu.be/0ynmngdbG4w},{Russell's Rebrand},{3279.0}
{https://youtu.be/YM3OnxNw2f8},{I Bought a Time Machine Online},{4072.0}
{https://youtu.be/aPKHQmzRMrQ},{Actually the Craziest Movie Ever Made},{3134.0}
{https://youtu.be/u0GCwJcOHxw},{Why is Everything So Boring Now?},{2291.0}
{https://youtu.be/5dY4ciDVNIo},{The Worst Family Vloggers Got Even Worse},{2197.0}
{https://youtu.be/bDrNolNVMPg},{I Ate Only YouTuber Food Products for 1 Week},{4320.0}
{https://youtu.be/R7Dj-R41JQw},{They Made a Taylor Swift Christmas Movie.},{1445.0}
{https://youtu.be/2f3gB3zSL08},{I Can't Believe this TV Show is Real},{1570.0}
{https://youtu.be/Wyntvjyx6fo},{The "Faceless YouTube Channel" Plague},{3538.0}
{https://youtu.be/7ZZ58GYsM8o},{The Ridiculous 'Stranger Things' Ripoff},{1889.0}
{https://youtu.be/wumi-4xh2Jk},{Pointless Ai Products},{2261.0}
{https://youtu.be/9ge2rv8jVng},{I Tried Anti-Aging TikToks},{3898.0}
{https://youtu.be/FIEot0uTnVQ},{Kurtis Conner | PYTHON | Full Comedy Special},{2444.0}
{https://youtu.be/UiMmlcb9egs},{Bully Beatdown: The TV Show That Fought Your Bullies},{1049.0}
{https://youtu.be/EwnjgFSxlbo},{My Quest to Find the Weirdest 90s Toy Ever},{3539.0}
{https://youtu.be/sjEFq3spbAc},{When Did Conspiracy Theories Get So Crazy?},{3078.0}
{https://youtu.be/fsIycHJN1gw},{The TikTok F-Boy Final Boss},{1128.0}
{https://youtu.be/gcodF-be4G0},{This British Reality TV Show is Pure Evil},{1756.0}
{https://youtu.be/UkCIzRKKEao},{Fitness Influencers are Pretending to be Monkeys},{1283.0}
{https://youtu.be/sL4wUOm70sQ},{I Used Only Vintage Technology for a Week},{3968.0}
{https://youtu.be/0xRYj6MHq-8},{The Breakdancing Dad Situation},{1428.0}
{https://youtu.be/8Ou7w3Sxk5E},{A YouTuber Made the Most Insane Animated Movie Ever},{1822.0}
{https://youtu.be/Z3zehSJgE8Y},{I Tried "Looksmaxxing"},{2578.0}
{https://youtu.be/ogy1-SkEewc},{Forcing Your Kids to Become TikTok Stars},{1303.0}
{https://youtu.be/T8fAquggNl8},{The Worst Christmas Movie I've Ever Seen},{1984.0}
{https://youtu.be/2r8RYQ3UnqA},{Barbie vs. Bratz 3: LIVE ACTION},{2969.0}
{https://youtu.be/HnCF7qKmIbk},{A Deep Dive into Potterheads},{2949.0}
{https://youtu.be/FRc7C6WfKQM},{The Vikings of TikTok},{1495.0}
{https://youtu.be/GIWyZnkw1uM},{I Took a Vision Healing Masterclass},{2398.0}
{https://youtu.be/QKGPwcXRKX4},{Stop Filming Strangers},{1272.0}
{https://youtu.be/nCX_AOUZZQo},{Grooms Ruining Their Own Weddings},{1098.0}
{https://youtu.be/zzvtP3jMIME},{I Watched the Worst Movie on the Most Disliked Streaming Platform},{1546.0}
{https://youtu.be/SXYshpRZS0k},{TikTok's Most Unlikely Superstar},{2075.0}
{https://youtu.be/Bw-StjYAgoA},{Tony Hawk Made a Low Budget Animated Movie?},{1615.0}
{https://youtu.be/eYyBjn0I0W4},{The Bizarre World of Pointlessly Gendered Products},{1574.0}
{https://youtu.be/E2QBRx1XYM0},{WATERTOK: The Strangest Community on TikTok},{1885.0}
{https://youtu.be/YSfeEJRIl3Q},{I Tried Solving a 20-YEAR-OLD Digimon Card Mystery},{1566.0}
{https://youtu.be/bCoV7VaobfA},{The Final “Baby Geniuses” Films are Offensively Bad},{1885.0}
{https://youtu.be/zOXwhMSzPPM},{Brent Rivera is a YouTube Supervillain},{1739.0}
{https://youtu.be/ROHmBJPRSpM},{This Christian Knockoff of SAW is God-Awful},{1918.0}
{https://youtu.be/cYJII1tEk3I},{MTV's Weirdest Dating Show w/ Danny Gonzalez},{1130.0}
{https://youtu.be/BXM9chmHqrk},{The Fake TikTok Psychic},{1337.0}
{https://youtu.be/s94JNWhVFtA},{I Filmed Christmas Movies Written Entirely by Robots},{1549.0}
{https://youtu.be/36-OfPQ2Ek4},{Russell Hartley Has Returned...and He's Even Worse},{1441.0}
{https://youtu.be/7gProq2rmag},{This Unhinged 90’s Movie Should Not Exist},{1765.0}
{https://youtu.be/9NDorr6rl6A},{The Most Tone-Deaf Video Ever Made},{1181.0}
{https://youtu.be/h3QLFHvcSVE},{Furries & The Ethics of Cringe Culture},{1464.0}
{https://youtu.be/czjoyRz9sLk},{I Found The Perfect Boyfriend},{985.0}
{https://youtu.be/Zh_m3OzUhcY},{Chronically Online},{1537.0}
{https://youtu.be/N2oxT7YsX_8},{The Ragdoll Husband: Unravelling The Truth},{1076.0}
{https://youtu.be/GBixqIGdbZQ},{These Are the Worst Guys Ever},{1111.0}
{https://youtu.be/oddigFf937g},{Barbie vs. Bratz 2},{2216.0}
{https://youtu.be/IVwERXiRfY8},{FUSHIGI: As Seen on TV's Weirdest Product},{1313.0}
{https://youtu.be/4X16Iw5ST4Q},{Canada Made Really Weird PSAs...},{1327.0}
{https://youtu.be/SdlKaGn0b5g},{The New Pinocchio Movie is a Nightmare},{1840.0}
{https://youtu.be/_7HXSujKlY4},{These Are the Worst Guys on TikTok w/ Drew Afualo},{1540.0}
{https://youtu.be/7oDrTMP0BNY},{The Millennial Meltdown},{1289.0}
{https://youtu.be/xjTW0DXCLd4},{Styling My Awful Knockoff Merch},{1136.0}
{https://youtu.be/-o2xPaGiT7w},{NFT Cringe},{1656.0}
{https://youtu.be/D152lWYtMuA},{This Anti-Masker Christian Movie is Even Worse Than You Think},{1766.0}
{https://youtu.be/xm2c7R6H1sA},{I Lived Like a Billionaire for a Week},{1816.0}
{https://youtu.be/kPOCc9unyhc},{Stockholm Syndrome: The Movie},{1548.0}
{https://youtu.be/sGz15F-_uaw},{Baggage: The Most Unhinged Dating Show Of All Time},{1230.0}
{https://youtu.be/HOU3VFtdiBg},{Let's Watch (more of) My Favorite TikToks},{1124.0}
{https://youtu.be/ECA6qu8khQ0},{Canada's Worst Driver: A Very Dangerous TV Show},{1314.0}
{https://youtu.be/Y9sMjw4qbUo},{TikTok "Interviews" are Insufferable},{1369.0}
{https://youtu.be/yvZP3YQNuRo},{This Low-Budget Horror Movie is Terrifying...For All The Wrong Reasons},{1664.0}
{https://youtu.be/w5vG06pAQBk},{Debunking Urban Legends w/ Jacob Sharpe},{1142.0}
{https://youtu.be/otjUfaIEAao},{The Sway House Mobile Game is a Disaster},{1443.0}
{https://youtu.be/q8sy5amb64A},{"The Man Show" Did NOT Age Well...},{1551.0}
{https://youtu.be/OQFWuCJMxKw},{TikTok's Un-Motivational Speaker},{1334.0}
{https://youtu.be/SnKaWn4fUhs},{The Internet's Most Absurd Lies},{1570.0}
{https://youtu.be/wHp8eMfYYwA},{Trying to Get Rich Off Pokémon Cards},{2674.0}
{https://youtu.be/_7p_opi4pxw},{Undercover Boss is Ridiculous},{1460.0}
{https://youtu.be/Sv_OE3eF60U},{Fact-Checking Insane Articles Written About Me},{1041.0}
{https://youtu.be/hLQZ3S7dmxk},{Barbie vs. Bratz},{1730.0}
{https://youtu.be/--CWTjd8rkY},{I Found a Super Weird Instructional Video from 1999},{1583.0}
{https://youtu.be/BvNmLwOLz3w},{A Deep Dive Into Disney Adults},{2236.0}
{https://youtu.be/K5YSXGmwmpQ},{Room Raiders was MTV's Grossest Dating Show},{1667.0}
{https://youtu.be/EnruyTb_ij4},{Ridiculous Safety TikToks},{1013.0}
{https://youtu.be/6ufni8mS4Qc},{I Somehow Got a World Record Speedrun},{2212.0}
{https://youtu.be/c1aFZkXVxuk},{EPISODE: The Final Episode},{1291.0}
{https://youtu.be/VsEzjQJ89yE},{The Weirdest Whisper App Confessions},{1109.0}
{https://youtu.be/TFP-wGwG7MI},{Teaching Gamers About God},{1728.0}
{https://youtu.be/hJOKRUdTqOA},{The Frightening World of AI Generated Content},{2352.0}
{https://youtu.be/ePKugerH3Ls},{These "Alpha Males" Were Banned From TikTok},{1454.0}
{https://youtu.be/cabHu9tIomQ},{"Homeless For The Holidays" is an Infuriating Christmas Movie},{1609.0}
{https://youtu.be/Dt6m1K4YdBQ},{EPISODE: Episode 5 - The Big Reveal},{1196.0}
{https://youtu.be/7sf0l2cdoF0},{Putting Nate Garner's Online Course To The Test},{2212.0}
{https://youtu.be/yg78KBweaHc},{YouTube Couples Are Getting Out Of Hand},{1270.0}
{https://youtu.be/gETCIgFZUvI},{This Early 2000's Dating Show Is Pure Insanity},{1447.0}
{https://youtu.be/73Z6Wj6l0ac},{I Am Terrified Of This Man},{805.0}
{https://youtu.be/o3-fJRJQnq0},{Kurtis Conner - Blood Related (Official Music Video)},{229.0}
{https://youtu.be/KWgVGDqsCUc},{I Became A Country Boy},{2144.0}
{https://youtu.be/1cLpr49dyXY},{Let's Watch My Favorite TikToks},{1033.0}
{https://youtu.be/VrORMy_9Ig4},{GOAT STORY 2: Was This Necessary?},{1983.0}
{https://youtu.be/X730wfPFqp0},{TikTok's Obsession with Dark Humor},{1518.0}
{https://youtu.be/4r4QJPc1pUk},{Episode 4: The L Word},{1029.0}
{https://youtu.be/09JlQLSOWbI},{This Low-Budget Animated Movie Ruined My Life},{1897.0}
{https://youtu.be/FCm5LZ22PTg},{Checking In With Sebastian Bails},{1300.0}
{https://youtu.be/y5kN4H2t26I},{TikTok's Worst Dating Coach},{1667.0}
{https://youtu.be/nFr_TOnlzWs},{Fulfilling My Childhood Dream of Becoming a Magician},{1948.0}
{https://youtu.be/xsil5v_lfOw},{"Relatable" Memes That Aren't Relatable At All},{937.0}
{https://youtu.be/iDtfzQnW-B4},{EPISODE 3: The Betrayal},{1108.0}
{https://youtu.be/65MbwhX4Nb0},{Stop Pranking Essential Workers},{1364.0}
{https://youtu.be/2JlXB_HDuR0},{FAKE DEEP 2},{1091.0}
{https://youtu.be/4HGB1SwzpUc},{Getting Cancelled},{950.0}
{https://youtu.be/WlPViJ1pTUs},{I Found the Best Actor on TikTok},{1281.0}
{https://youtu.be/kbLxFezgYIc},{SUPERBABIES: The Superhero Movie of Your Nightmares},{1766.0}
{https://youtu.be/hdGtu7LkhLo},{Straight People Gotta Stop},{974.0}
{https://youtu.be/HW17X0HNgB0},{Making Your Insane Green Screen Ideas},{1113.0}
{https://youtu.be/kC1BKiJmM74},{EPISODE: Episode 2 (The 2nd Episode)},{1086.0}
{https://youtu.be/wULvPKwVyMg},{Does Anybody Else Remember "Manswers"?},{1573.0}
{https://youtu.be/Wdn6PT-nZf0},{I Lived Like WeWearCute For A Day},{1785.0}
